Datafile FullScanSumBP FullScanMaxBP ZoomScanSumBP ZoomScanMaxBP SumTIC MaxTIC
FIT_HPPP_Bound_060622_04.2.2.1.dta 473616 473616 0 0 147633 147633
FIT_HPPP_Bound_060622_04.3.6.1.dta 8240 2795 0 0 319116 153355
FIT_HPPP_Bound_060622_04.7.11.1.dta 844143 290360 0 0 201976 82983
FIT_HPPP_Bound_060622_04.10.10.1.dta 204790 204790 0 0 22222 22222
FIT_HPPP_Bound_060622_04.13.13.1.dta 165038 165038 0 0 21559 21559
FIT_HPPP_Bound_060622_04.14.14.1.dta 83027 83027 0 0 10009 10009
FIT_HPPP_Bound_060622_04.15.15.1.dta 165038 165038 0 0 15984 15984
FIT_HPPP_Bound_060622_04.17.17.1.dta 90197 90197 0 0 9693 9693
FIT_HPPP_Bound_060622_04.18.18.1.dta 58214 58214 0 0 6883 6883
FIT_HPPP_Bound_060622_04.19.19.1.dta 146086 146086 0 0 50831 50831
FIT_HPPP_Bound_060622_04.21.21.1.dta 137461 137461 0 0 21456 21456
FIT_HPPP_Bound_060622_04.22.22.1.dta 65946 65946 0 0 8564 8564
FIT_HPPP_Bound_060622_04.23.23.1.dta 61020 61020 0 0 2372 2372
FIT_HPPP_Bound_060622_04.25.25.1.dta 105050 105050 0 0 20942 20942
FIT_HPPP_Bound_060622_04.26.26.1.dta 154237 154237 0 0 52906 52906
FIT_HPPP_Bound_060622_04.27.27.1.dta 43813 43813 0 0 2458 2458
FIT_HPPP_Bound_060622_04.29.29.1.dta 3961 3961 0 0 41857 41857
FIT_HPPP_Bound_060622_04.30.30.1.dta 24569 24569 0 0 6499 6499
FIT_HPPP_Bound_060622_04.31.31.1.dta 178220 178220 0 0 10530 10530
FIT_HPPP_Bound_060622_04.33.33.1.dta 25218 25218 0 0 6378 6378
FIT_HPPP_Bound_060622_04.34.34.1.dta 261048 261048 0 0 25358 25358
FIT_HPPP_Bound_060622_04.35.37.1.dta 38344 19971 0 0 2327 1194
FIT_HPPP_Bound_060622_04.38.38.1.dta 44129 44129 0 0 2684 2684
FIT_HPPP_Bound_060622_04.39.39.1.dta 81818 81818 0 0 6304 6304
FIT_HPPP_Bound_060622_04.41.41.1.dta 75113 75113 0 0 3250 3250
FIT_HPPP_Bound_060622_04.43.45.1.dta 1411292 772221 0 0 37872 19973
FIT_HPPP_Bound_060622_04.46.46.1.dta 127040 127040 0 0 9157 9157
FIT_HPPP_Bound_060622_04.47.49.1.dta 132330 66235 0 0 9338 5065
FIT_HPPP_Bound_060622_04.50.50.1.dta 112954 112954 0 0 7864 7864
FIT_HPPP_Bound_060622_04.51.51.1.dta 26095 26095 0 0 5458 5458
FIT_HPPP_Bound_060622_04.53.53.1.dta 79787 79787 0 0 5608 5608
FIT_HPPP_Bound_060622_04.54.54.1.dta 22827 22827 0 0 4951 4951
FIT_HPPP_Bound_060622_04.55.57.1.dta 20335 10624 0 0 1483 780
FIT_HPPP_Bound_060622_04.58.58.1.dta 17650 17650 0 0 1915 1915
FIT_HPPP_Bound_060622_04.61.61.2.dta 14426 14426 0 0 2131 2131
FIT_HPPP_Bound_060622_04.61.61.3.dta 14426 14426 0 0 2131 2131
FIT_HPPP_Bound_060622_04.63.63.1.dta 21499 21499 0 0 1700 1700
FIT_HPPP_Bound_060622_04.65.65.2.dta 12518 12518 0 0 2076 2076
FIT_HPPP_Bound_060622_04.65.65.3.dta 12518 12518 0 0 2076 2076
FIT_HPPP_Bound_060622_04.67.67.1.dta 8318 8318 0 0 2063 2063
FIT_HPPP_Bound_060622_04.69.69.1.dta 147357 147357 0 0 15761 15761
FIT_HPPP_Bound_060622_04.70.70.1.dta 7470 7470 0 0 1906 1906
FIT_HPPP_Bound_060622_04.71.71.1.dta 6248 6248 0 0 1264 1264
FIT_HPPP_Bound_060622_04.73.73.2.dta 6643 6643 0 0 5182 5182
FIT_HPPP_Bound_060622_04.73.73.3.dta 6643 6643 0 0 5182 5182
FIT_HPPP_Bound_060622_04.74.74.1.dta 10369 10369 0 0 1126 1126
FIT_HPPP_Bound_060622_04.75.75.1.dta 6682 6682 0 0 1152 1152
FIT_HPPP_Bound_060622_04.77.77.1.dta 9860 9860 0 0 1109 1109
FIT_HPPP_Bound_060622_04.78.78.1.dta 152167 152167 0 0 15345 15345
FIT_HPPP_Bound_060622_04.79.81.1.dta 11915 6473 0 0 2888 1473
FIT_HPPP_Bound_060622_04.82.82.2.dta 4868 4868 0 0 657 657
FIT_HPPP_Bound_060622_04.82.82.3.dta 4868 4868 0 0 657 657
FIT_HPPP_Bound_060622_04.83.83.2.dta 5688 5688 0 0 4014 4014
FIT_HPPP_Bound_060622_04.83.83.3.dta 5688 5688 0 0 4014 4014
FIT_HPPP_Bound_060622_04.85.85.1.dta 8256 8256 0 0 2453 2453
FIT_HPPP_Bound_060622_04.86.86.2.dta 4255 4255 0 0 1116 1116
FIT_HPPP_Bound_060622_04.86.86.3.dta 4255 4255 0 0 1116 1116
FIT_HPPP_Bound_060622_04.87.87.2.dta 3290 3290 0 0 3663 3663
FIT_HPPP_Bound_060622_04.89.89.1.dta 5325 5325 0 0 1241 1241
FIT_HPPP_Bound_060622_04.91.91.2.dta 4138 4138 0 0 3067 3067
FIT_HPPP_Bound_060622_04.97.97.1.dta 7440 7440 0 0 2108 2108
FIT_HPPP_Bound_060622_04.98.98.1.dta 4664 4664 0 0 824 824
FIT_HPPP_Bound_060622_04.102.102.2.dta 6045 6045 0 0 730 730
FIT_HPPP_Bound_060622_04.102.102.3.dta 6045 6045 0 0 730 730
FIT_HPPP_Bound_060622_04.103.103.1.dta 4805 4805 0 0 836 836
FIT_HPPP_Bound_060622_04.105.105.2.dta 11224 11224 0 0 644 644
FIT_HPPP_Bound_060622_04.105.105.3.dta 11224 11224 0 0 644 644
FIT_HPPP_Bound_060622_04.109.109.2.dta 3369 3369 0 0 529 529
FIT_HPPP_Bound_060622_04.109.109.3.dta 3369 3369 0 0 529 529
FIT_HPPP_Bound_060622_04.110.110.1.dta 53716 53716 0 0 1090 1090
FIT_HPPP_Bound_060622_04.111.111.2.dta 2764 2764 0 0 707 707
FIT_HPPP_Bound_060622_04.111.111.3.dta 2764 2764 0 0 707 707
FIT_HPPP_Bound_060622_04.113.113.2.dta 3996 3996 0 0 1151 1151
