Peptide Name	Heavy Labeled		Precursor m/z	Q1 Resolution	Product ion m/z	Q3 Resolution	Fragmentor	Collision energy	RT	Delta RT	MS polarity
Ogdh-1_heavy	TRUE	FALSE	722.69	Unit	1430.71	Unit	180	5	113	20	Positive
Ogdh-1_heavy	TRUE	FALSE	722.69	Unit	943.49	Unit	180	13	113	20	Positive
Ogdh-1_heavy	TRUE	FALSE	722.69	Unit	410.24	Unit	180	50	113	20	Positive
Ogdh-1_light	FALSE	FALSE	719.36	Unit	1420.71	Unit	180	5	113	20	Positive
Ogdh-1_light	FALSE	FALSE	719.36	Unit	933.49	Unit	180	13	113	20	Positive
Ogdh-1_light	FALSE	FALSE	719.36	Unit	400.24	Unit	180	50	113	20	Positive
Acss2-2_heavy	TRUE	FALSE	937.02	Unit	1320.7	Unit	100	33	78.5	20	Positive
Acss2-2_heavy	TRUE	FALSE	937.02	Unit	519.34	Unit	100	49	78.5	20	Positive
Acss2-2_heavy	TRUE	FALSE	937.02	Unit	365.26	Unit	100	41	78.5	20	Positive
Acss2-2_Light	FALSE	FALSE	933.02	Unit	1312.7	Unit	100	33	78.5	20	Positive
Acss2-2_Light	FALSE	FALSE	933.02	Unit	511.34	Unit	100	49	78.5	20	Positive
Acss2-2_Light	FALSE	FALSE	933.02	Unit	357.26	Unit	100	41	78.5	20	Positive
Pdhb-1_heavy	TRUE	FALSE	905.46	Unit	923.44	Unit	164	25	87.5	20	Positive
Pdhb-1_heavy	TRUE	FALSE	905.46	Unit	446.25	Unit	164	41	87.5	20	Positive
Pdhb-1_heavy	TRUE	FALSE	905.46	Unit	318.19	Unit	164	50	87.5	20	Positive
Pdhb-1_light	FALSE	FALSE	901.46	Unit	915.44	Unit	164	25	87.5	20	Positive
Pdhb-1_light	FALSE	FALSE	901.46	Unit	438.25	Unit	164	41	87.5	20	Positive
Pdhb-1_light	FALSE	FALSE	901.46	Unit	310.19	Unit	164	50	87.5	20	Positive
Cs-2_heavy	TRUE	FALSE	886.95	Unit	924.47	Unit	180	21	73	20	Positive
Cs-2_heavy	TRUE	FALSE	886.95	Unit	811.38	Unit	180	21	73	20	Positive
Cs-2_heavy	TRUE	FALSE	886.95	Unit	696.36	Unit	180	41	73	20	Positive
Cs-2_light	FALSE	FALSE	881.95	Unit	914.47	Unit	180	21	73	20	Positive
Cs-2_light	FALSE	FALSE	881.95	Unit	801.38	Unit	180	21	73	20	Positive
Cs-2_light	FALSE	FALSE	881.95	Unit	686.36	Unit	180	41	73	20	Positive
Pdk2-1_heavy	TRUE	FALSE	878.46	Unit	1290.68	Unit	180	37	38.5	20	Positive
Pdk2-1_heavy	TRUE	FALSE	878.46	Unit	1219.64	Unit	180	41	38.5	20	Positive
Pdk2-1_heavy	TRUE	FALSE	878.46	Unit	714.37	Unit	180	33	38.5	20	Positive
Pdk2-1_light	FALSE	FALSE	873.46	Unit	1280.68	Unit	180	37	38.5	20	Positive
Pdk2-1_light	FALSE	FALSE	873.46	Unit	1209.64	Unit	180	41	38.5	20	Positive
Pdk2-1_light	FALSE	FALSE	873.46	Unit	709.37	Unit	180	33	38.5	20	Positive
Sdhb-1_heavy	TRUE	FALSE	840.92	Unit	726.87	Unit	148	17	94.5	20	Positive
